ideology,religion,risk_seeking,expend_total,seems_fun,enjoy_thinking,self_control,risk_aversion,gender,age,marital,employment,urban,education,income,white,black,hispanic,income_delta,expend_delta,overconfidence,lottery_payout,happiness,financial_literacy,financial_numeracy,gamblers_fallacy,non_belief_lln,ev_miscalculation,income_effects_delta_pct,state,expenditures_share_income,education_5,education_10,education_15,education_20
Extremely Conservative,1.0,-3,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,72.0,Married,0.0,Metro Area,18.0,80.0,1.0,0.0,0.0,-17.5,0.0,0.0,0.35,3.0,0.8,0.6666667,0.6666667,0.13863334,0.5,0.0,AK,0.0,1,1,1,0
Moderate,0.0,-4,10.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,61.0,Married,1.0,Metro Area,14.0,92.5,1.0,0.0,0.0,-37.5,-37.5,1.0,0.25,5.0,1.0,1.0,0.0,0.42703333,0.5,7.5,AK,0.10810810810810811,1,1,0,0
Slightly Conservative,1.0,-4,0.0,0 - Neutral,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,30.0,Married,1.0,Non-Metro Area,18.0,55.0,1.0,0.0,0.0,7.5,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.5970333,1.0,0.0,AK,0.0,1,1,1,0
Slightly Liberal,0.0,-3,0.0,0 - Neutral,3 - Strongly Agree,-3 - Far too little,Above-average financial risks expecting to earn above-average returns.,Female,68.0,0.0,0.0,Metro Area,12.0,22.5,1.0,0.0,0.0,2.5,-50.0,0.0,0.75,9.0,0.6,0.33333334,0.0,0.5103667,1.0,-50.0,AK,0.0,1,1,0,0
Conservative,1.0,-4,1.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,68.0,Married,1.0,Metro Area,13.0,55.0,1.0,0.0,0.0,-17.5,-37.5,0.0,0.45,1.0,1.0,1.0,0.0,0.42703333,0.75,,AL,0.01818181818181818,1,1,0,0
Moderate,0.0,-4,0.0,1,0 - Neutral,-1,Above-average financial risks expecting to earn above-average returns.,Male,68.0,Married,0.0,Metro Area,13.0,92.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,5.0,1.0,1.0,0.0,0.42703333,0.25,0.0,AL,0.0,1,1,0,0
Conservative,1.0,-4,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,No financial risks.,Female,65.0,Married,0.0,Non-Metro Area,14.0,67.5,1.0,0.0,0.0,-7.5,0.0,0.5,0.65,-7.0,0.8,0.6666667,1.0,0.40703332,1.0,0.0,AL,0.0,1,1,0,0
Conservative,0.0,-3,20.0,1,0 - Neutral,-1,No financial risks.,Female,55.0,0.0,0.0,Metro Area,14.0,12.5,1.0,0.0,0.0,2.5,0.0,0.0,0.45,9.0,1.0,0.6666667,0.6666667,0.26376668,0.0,0.0,AL,1.6,1,1,0,0
Conservative,1.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,77.0,Married,0.0,Metro Area,18.0,92.5,1.0,0.0,0.0,2.5,0.0,0.0,0.15,9.0,0.6,0.6666667,0.6666667,0.50703335,1.0,0.0,AL,0.0,1,1,1,0
Conservative,0.0,-3,3.0,1,2,-1,Average financial risks expecting to earn average returns.,Male,69.0,0.0,1.0,Metro Area,14.0,45.0,1.0,0.0,0.0,-2.5,0.0,0.0,0.05,0.0,1.0,1.0,0.0,0.42703333,1.0,2.5,AL,0.06666666666666667,1,1,0,0
Slightly Conservative,1.0,-1 - Very unwilling,0.0,3 - Strongly Agree,3 - Strongly Agree,3 - Far too much,Above-average financial risks expecting to earn above-average returns.,Male,50.0,Married,1.0,Metro Area,13.0,45.0,0.0,1.0,0.0,0.0,-2.5,0.0,0.05,10.0,0.4,0.33333334,0.0,0.42703333,0.75,,AL,0.0,1,1,0,0
Moderate,1.0,-5,0.0,1,2,-3 - Far too little,No financial risks.,Male,64.0,Married,0.0,Metro Area,16.0,45.0,1.0,0.0,0.0,2.5,0.0,-0.3,0.55,1.0,0.6,0.6666667,0.0,0.9270333,0.75,0.0,AL,0.0,1,1,1,0
